Up to date
A,D,B0,B1,B2,Root,Y
73164002662376842629/50000000000000000000,15229221477523553892405225351579/100000000000000000000,1451865382287306362701966399411/100000000000000000000,1637366792484519087265378966461/20000000000000000000,2688220904803517793124030112579/25000000000000000000,19771248559233016682762515106301/100000000000000000000,17086982884300467734966939659694255725080125877131887/10000000000000000000
3341509269190744943/5000000000000000000,3591384909195235774671870650463/25000000000000000000,726575097325059627863546583507/50000000000000000000,4644251953728316015335617329223/100000000000000000000,1738008104792773020817585697611/20000000000000000000,14163837000204204455846512606377/100000000000000000000,-2007303902491278552030708459381360973430658703942399/100000000000000000000
1941342102101022541/800000000000000000,4683251285369867957329431110067/25000000000000000000,3689474111783783585200686547431/50000000000000000000,6635053559506288207218402445431/50000000000000000000,6107549077718721486662295196673/100000000000000000000,13342309919870153009301436248009/50000000000000000000,1713772075502162773877636980438711289601118885778080603/100000000000000000000
37117824374718322161/100000000000000000000,40493674144591142208675126806367/100000000000000000000,2301577547843421130922399331509/25000000000000000000,16452561775485994656267796790029/100000000000000000000,6432772812014599046896461844807/100000000000000000000,6300064088732221563371400188321/20000000000000000000,-43887073475201244360604297259967764831920899779190931/12500000000000000000
266308518976061120173/100000000000000000000,279232556547447892594402939063/20000000000000000000,9437948397766026699163555480899/50000000000000000000,5197492281012285772412547106959/50000000000000000000,139920900330216894857226949967/5000000000000000000,31575905217171966780849662622851/100000000000000000000,86794013546030323940320541791051907174068868642337772447/100000000000000000000
70312818761789771077/100000000000000000000,841191462718261075545993518271/20000000000000000000,157083545445453926844023234323/800000000000000000,9041480417356365814497154551649/50000000000000000000,3556616558043921265639328141607/50000000000000000000,44209640689349046720992444465941/100000000000000000000,9313238179043413513732133016559316253655677266967350801/20000000000000000000
11486631750887782701/25000000000000000000,2446245184827449056465949440569/6250000000000000000,3033637517638904574961885124219/20000000000000000000,1074195360612458641790940335377/12500000000000000000,12427620698210761014194075072047/100000000000000000000,3599664881871264510667987586999/10000000000000000000,-13223400851824418594421662389672582353842549354595687/6250000000000000000
470385517776109238527/100000000000000000000,48427609478632257853994824707/2500000000000000000,1608205415632463277882976020903/50000000000000000000,2249937112611559481302580703227/12500000000000000000,12957444289746360157285081597233/100000000000000000000,8481378497542332394514241389027/25000000000000000000,158622854091832096911516437431955337807525659218738182293/100000000000000000000
139076363092606514541/100000000000000000000,15127712043521856132378637340119/25000000000000000000,3657727022080248773146653713/400000000000000000,479408394839889982581176788311/12500000000000000000,9802471312514571797200502517473/100000000000000000000,13861979229592999728060102837751/100000000000000000000,-11440218565963407149328890682198214048046399837286667/1250000000000000000
7158244916738772889/25000000000000000000,90560074894297451233621818353/20000000000000000000,1531311941745569687454271853893/6250000000000000000,8530972729350628215141928390333/100000000000000000000,9824496221966962739580461657219/100000000000000000000,20686311132595239606591102578089/50000000000000000000,74436994079556070561095877486968073871368231402271569413/50000000000000000000
130010202638372926811/100000000000000000000,954279243185671618477793151987/2500000000000000000,3545075690099804189762714976129/50000000000000000000,11532534951834739208121260764483/100000000000000000000,1029134257180147414660936438409/50000000000000000000,20210697902527662710721066349629/100000000000000000000,-459855256545327433815556960634424237896512004271494163/100000000000000000000
16935776731179815759/20000000000000000000,5344039249818368242261378685099/100000000000000000000,5684544395495709001484519868451/25000000000000000000,706271606869937579486411743649/12500000000000000000,3288601095592339621547596822689/25000000000000000000,40694002409101794691655507471463/100000000000000000000,1053651347379211433436888320836621313403634922033297299/4000000000000000000
166853393541768323657/100000000000000000000,4688175630927303825944707334657/12500000000000000000,8410419401525052286208435023273/100000000000000000000,4784426994432385287448733538589/100000000000000000000,5408664764448977951188991571607/50000000000000000000,2990556648440704810377152108827/12500000000000000000,-428677608305684315906686026487251291138089789794943489/50000000000000000000
